TubeNumber,Trt,Rep,Sample,CoverCrop,Variety,WCR,DateGerm,DateWCR,DateSample,Type,Mass,VolumeMethanol,ExtractionNotes,DateGround,DateMethanol
53,B,5,B05,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,90.8,272,,9/11/2023,9/12/2023
54,B,6,B06,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Roots,91.4,274,,9/11/2023,9/12/2023
55,C,5,C05,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,114.7,344,,9/11/2023,9/12/2023
56,C,6,C06,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,96.4,289,,9/11/2023,9/12/2023
57,D,5,D05,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,104.7,314,,9/11/2023,9/12/2023
58,D,6,D06,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,95.9,288,,9/11/2023,9/12/2023
59,E,5,E05,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,105.7,317,,9/11/2023,9/12/2023
60,E,6,E06,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,96.5,290,,9/11/2023,9/12/2023
61,F,5,F05,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,92.1,276,,9/11/2023,9/12/2023
62,F,6,F06,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,103.4,310,,9/11/2023,9/12/2023
63,G,5,G05,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,93.5,281,,9/11/2023,9/12/2023
64,G,6,G06,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Shoots,111.5,335,,9/11/2023,9/12/2023
65,H,5,H05,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,99.8,299,,9/11/2023,9/12/2023
66,H,6,H06,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,98.2,295,,9/11/2023,9/12/2023
67,I,5,I05,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,97.5,293,,9/11/2023,9/12/2023
68,I,6,I06,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,97.2,292,,9/11/2023,9/12/2023
69,J,5,J05,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,96.2,289,,9/11/2023,9/12/2023
70,J,6,J06,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,105.2,316,,9/11/2023,9/12/2023
71,F,5,F05,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,106.7,320,,9/11/2023,9/12/2023
72,F,6,F06,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,109.6,329,,9/11/2023,9/12/2023
73,G,5,G05,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,100.4,301,,9/11/2023,9/12/2023
74,G,6,G06,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Roots,96.9,291,,9/11/2023,9/12/2023
75,H,5,H05,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,93.3,280,,9/11/2023,9/12/2023
76,H,6,H06,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,112.6,338,,9/11/2023,9/12/2023
77,I,5,I05,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,108.3,325,,9/11/2023,9/12/2023
78,I,6,I06,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,112,336,,9/11/2023,9/12/2023
79,J,5,J05,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,99.2,298,,9/11/2023,9/12/2023
80,J,6,J06,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,93.5,281,,9/11/2023,9/12/2023
81,A,7,A07,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,102.2,307,,9/12/2023,9/12/2023
82,A,8,A08,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,105.8,317,,9/12/2023,9/12/2023
83,B,7,B07,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,108.8,326,,9/12/2023,9/12/2023
84,B,8,B08,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,99.9,300,,9/12/2023,9/12/2023
85,C,7,C07,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,105.4,316,,9/12/2023,9/12/2023
86,C,8,C08,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Shoots,113.8,341,,9/12/2023,9/12/2023
87,D,7,D07,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,109.4,328,,9/12/2023,9/12/2023
88,D,8,D08,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,103.5,311,,9/12/2023,9/12/2023
89,E,7,E07,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,113.8,341,,9/12/2023,9/12/2023
90,E,8,E08,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,104.9,315,,9/12/2023,9/12/2023
91,A,7,A07,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,95.7,287,,9/12/2023,9/12/2023
92,A,8,A08,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,105.5,317,,9/12/2023,9/12/2023
93,B,7,B07,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,110.7,332,,9/12/2023,9/12/2023
94,B,8,B08,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,97.4,292,,9/12/2023,9/12/2023
95,C,7,C07,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,107.2,322,,9/12/2023,9/12/2023
96,C,8,C08,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Roots,112.6,338,,9/12/2023,9/12/2023
97,D,7,D07,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,106.4,319,,9/12/2023,9/12/2023
98,D,8,D08,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,97.5,293,,9/12/2023,9/12/2023
99,E,7,E07,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,113.3,340,,9/12/2023,9/12/2023
100,E,8,E08,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,95.4,286,,9/12/2023,9/12/2023
101,F,7,F07,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,110.6,332,,9/12/2023,9/12/2023
102,F,8,F08,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,98.9,297,,9/12/2023,9/12/2023
103,G,7,G07,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,93.5,281,,9/12/2023,9/12/2023
104,G,8,G08,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Shoots,102.5,308,,9/12/2023,9/12/2023
105,H,7,H07,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,95.2,286,,9/12/2023,9/12/2023
106,H,8,H08,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,107,321,,9/12/2023,9/12/2023
107,I,7,I07,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,91.1,373,should have been 273,9/12/2023,9/12/2023
108,I,8,I08,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,90.7,272,,9/12/2023,9/12/2023
109,J,7,J07,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,103.7,311,,9/12/2023,9/12/2023
110,J,8,J08,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Shoots,102.4,307,,9/12/2023,9/12/2023
111,F,7,F07,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,104.6,314,,9/12/2023,9/12/2023
112,F,8,F08,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,112.6,338,,9/12/2023,9/12/2023
113,G,7,G07,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,101.7,305,,9/12/2023,9/12/2023
114,G,8,G08,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Roots,104.6,314,,9/12/2023,9/12/2023
115,H,7,H07,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,104.4,313,,9/12/2023,9/12/2023
116,H,8,H08,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,110.3,331,,9/12/2023,9/12/2023
117,I,7,I07,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,94.6,284,,9/12/2023,9/12/2023
118,I,8,I08,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,96.5,290,,9/12/2023,9/12/2023
119,J,7,J07,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,95.8,287,,9/12/2023,9/12/2023
120,J,8,J08,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Roots,100.9,303,,9/12/2023,9/12/2023
121,A,9,A09,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,100.2,301,,9/12/2023,9/12/2023
122,A,10,A10,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Shoots,111.1,333,,9/12/2023,9/12/2023
123,B,9,B09,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,100.2,301,,9/12/2023,9/12/2023
124,B,10,B10,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,91.5,275,,9/12/2023,9/12/2023
125,C,9,C09,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,110.2,331,,9/12/2023,9/12/2023
126,C,10,C10,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,108.1,324,,9/12/2023,9/12/2023
127,D,9,D09,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,102.5,308,,9/12/2023,9/12/2023
128,D,10,D10,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,102.2,307,,9/12/2023,9/12/2023
129,E,9,E09,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,93.2,280,,9/12/2023,9/12/2023
130,E,10,E10,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,102.1,306,,9/12/2023,9/12/2023
131,A,9,A09,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,112.8,338,,9/12/2023,9/12/2023
132,A,10,A10,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Roots,99.3,298,,9/12/2023,9/12/2023
133,B,9,B09,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,112.8,338,,9/12/2023,9/12/2023
134,B,10,B10,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,102.8,308,,9/12/2023,9/12/2023
135,C,9,C09,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,115,345,,9/12/2023,9/12/2023
136,C,10,C10,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,101,303,,9/12/2023,9/12/2023
137,D,9,D09,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,92.4,277,,9/12/2023,9/12/2023
138,D,10,D10,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,90.4,271,,9/12/2023,9/12/2023
139,E,9,E09,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,116.6,350,,9/12/2023,9/12/2023
140,E,10,E10,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,95.9,288,,9/12/2023,9/12/2023
141,F,9,F09,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,107.4,322,,9/12/2023,9/12/2023
142,F,10,F10,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,109.2,328,,9/12/2023,9/12/2023
143,G,9,G09,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,107.8,323,,9/12/2023,9/12/2023
144,G,10,G10,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,111.4,334,,9/12/2023,9/12/2023
145,H,9,H09,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,108,324,,9/12/2023,9/12/2023
146,H,10,H10,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,100.5,302,,9/12/2023,9/12/2023
147,I,9,I09,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,105.8,317,,9/12/2023,9/12/2023
148,I,10,I10,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,106.5,320,,9/12/2023,9/12/2023
149,J,9,J09,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,103.9,312,,9/12/2023,9/12/2023
150,J,10,J10,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,105.4,316,,9/12/2023,9/12/2023
151,F,9,F09,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,95.6,287,,9/12/2023,9/12/2023
152,F,10,F10,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,102,306,,9/12/2023,9/12/2023
153,G,9,G09,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,98.3,295,,9/12/2023,9/12/2023
154,G,10,G10,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,102.5,308,,9/12/2023,9/12/2023
155,H,9,H09,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,97,291,,9/12/2023,9/12/2023
156,H,10,H10,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,97.8,293,,9/12/2023,9/12/2023
157,I,9,I09,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,90.8,272,,9/12/2023,9/12/2023
158,I,10,I10,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,113.7,341,,9/12/2023,9/12/2023
159,J,9,J09,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,100.6,302,,9/12/2023,9/12/2023
160,J,10,J10,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,112.1,336,,9/12/2023,9/12/2023
162,A,12,A12,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,103,309,,9/12/2023,9/12/2023
163,B,11,B11,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,93.6,281,,9/12/2023,9/12/2023
164,B,12,B12,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,98.6,296,,9/12/2023,9/12/2023
165,C,11,C11,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,108.6,326,,9/12/2023,9/12/2023
166,C,12,C12,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,92.4,277,,9/12/2023,9/12/2023
167,D,11,D11,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,115.2,346,,9/12/2023,9/12/2023
168,D,12,D12,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Shoots,100.3,301,,9/12/2023,9/12/2023
169,E,11,E11,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,120.4,361,,9/12/2023,9/12/2023
170,E,12,E12,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,99.7,299,,9/12/2023,9/12/2023
172,A,12,A12,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,100.2,301,,9/12/2023,9/12/2023
173,B,11,B11,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,104.2,313,,9/12/2023,9/12/2023
174,B,12,B12,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,100.5,302,,9/12/2023,9/12/2023
175,C,11,C11,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,94.3,283,,9/12/2023,9/12/2023
176,C,12,C12,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,93.4,280,,9/12/2023,9/12/2023
177,D,11,D11,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,106.7,320,,9/12/2023,9/12/2023
178,D,12,D12,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Roots,109.6,329,,9/12/2023,9/12/2023
179,E,11,E11,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,118.5,356,,9/12/2023,9/12/2023
180,E,12,E12,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,109.2,328,,9/12/2023,9/12/2023
181,F,11,F11,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,109.2,328,,9/12/2023,9/12/2023
182,F,12,F12,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Shoots,91.3,274,,9/12/2023,9/12/2023
183,G,11,G11,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,97,291,,9/12/2023,9/12/2023
184,G,12,G12,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,102.5,308,,9/12/2023,9/12/2023
185,H,11,H11,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,99.7,299,,9/12/2023,9/12/2023
186,H,12,H12,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,100.8,302,,9/12/2023,9/12/2023
187,I,11,I11,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,99.6,327,should have been 299,9/12/2023,9/12/2023
188,I,12,I12,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Shoots,100.8,302,,9/12/2023,9/12/2023
189,J,11,J11,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,109.1,327,,9/12/2023,9/12/2023
190,J,12,J12,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,96.9,291,,9/12/2023,9/12/2023
191,F,11,F11,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,105.7,317,,9/12/2023,9/12/2023
192,F,12,F12,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Roots,103.4,310,,9/12/2023,9/12/2023
193,G,11,G11,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,100.3,301,,9/12/2023,9/12/2023
194,G,12,G12,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,98.7,296,,9/12/2023,9/12/2023
195,H,11,H11,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,115.4,346,,9/12/2023,9/12/2023
